,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched
151,430,Daniel,Meuser,Daniel Meuser,rep,PA,9.0,Republican,,,0,265302400637965,missing
152,431,John,Joyce,John Joyce,rep,PA,13.0,Republican,,,0,1054570378014827,missing
153,433,William,Timmons,William R. Timmons IV,rep,SC,4.0,Republican,,,0,1064897643682844,missing
154,437,Mark,Green,Mark E. Green,rep,TN,7.0,Republican,,,0,175317909284,missing
155,444,Sylvia,Garcia,Sylvia R. Garcia,rep,TX,29.0,Democrat,,,0,455155254543067,missing
156,445,Colin,Allred,Colin Z. Allred,rep,TX,32.0,Democrat,,,0,1505244559517282,missing
157,446,Elaine,Luria,Elaine G. Luria,rep,VA,2.0,Democrat,,,0,180060629247353,missing
158,448,Abigail,Spanberger,Abigail Davis Spanberger,rep,VA,7.0,Democrat,,,0,485980975070908,missing
159,450,Kim,Schrier,Kim Schrier,rep,WA,8.0,Democrat,,,0,1354622541311687,missing
160,452,Carol,Miller,Carol D. Miller,rep,WV,3.0,Republican,,,0,2204789813171086,missing
161,457,Jared,Golden,Jared F. Golden,rep,ME,2.0,Democrat,,,0,747783932079184,missing
162,460,Gregory,Murphy,Gregory F. Murphy,rep,NC,3.0,Republican,RepGregMurphy,,0,19437978960,missing
163,462,Thomas,Tiffany,Thomas P. Tiffany,rep,WI,7.0,Republican,,,0,48713703067,missing
164,466,Cynthia,Lummis,Cynthia M. Lummis,sen,WY,,Republican,,,0,369214063089791,missing
165,473,Jerry,Carl,Jerry L. Carl,rep,AL,1.0,Republican,,,0,243856543217942,missing
166,481,C.,Franklin,C. Scott Franklin,rep,FL,15.0,Republican,,,0,106168061412748,missing
167,487,Andrew,Clyde,Andrew S. Clyde,rep,GA,9.0,Republican,,,0,102530561547150,missing
168,488,Marjorie,Greene,Marjorie Taylor Greene,rep,GA,14.0,Republican,,,0,1809715209318581,missing
169,489,Kaialiʻi,Kahele,Kaiali’i Kahele,rep,HI,2.0,Democrat,,,0,588113904993568,missing
170,494,Mary,Miller,Mary E. Miller,rep,IL,15.0,Republican,,,0,100733324792130,missing
171,495,Frank,Mrvan,Frank J. Mrvan,rep,IN,1.0,Democrat,,,0,644318532586375,missing
172,501,Lisa,McClain,Lisa C. McClain,rep,MI,10.0,Republican,,,0,105056767589816,missing
173,504,Matthew,Rosendale,Matthew M. Rosendale,rep,MT,0.0,Republican,,,0,414088715666968,missing
174,505,Deborah,Ross,Deborah K. Ross,rep,NC,2.0,Democrat,,,0,1508257779494159,missing
175,506,Kathy,Manning,Kathy E. Manning,rep,NC,6.0,Democrat,,,0,1341543769290478,missing
176,510,Andrew,Garbarino,Andrew R. Garbarino,rep,NY,2.0,Republican,,,0,114371076772585,missing
177,515,Stephanie,Bice,Stephanie I. Bice,rep,OK,5.0,Republican,,,0,327202261326682,missing
178,525,Blake,Moore,Blake D. Moore,rep,UT,1.0,Republican,,,0,103147688330160,missing
179,532,Raphael,Warnock,Raphael G. Warnock,sen,GA,,Democrat,,,0,109111900634787,missing
180,536,Melanie,Stansbury,Melanie A. Stansbury,rep,NM,1.0,Democrat,,,0,128551641258085,missing
